Date,Home Team, Away Team, Result,Total,
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
27.02.2018,CSKA Moscow,Cherepovets,1 - 4 ,5
27.02.2018,Podolsk,Slovan Bratislava,5 - 3 ,8
27.02.2018,Din. Minsk,Dinamo Riga,5 - 3 ,8
27.02.2018,Jokerit,SKA St. Petersburg,5 - 3 ,8
27.02.2018,Bars Kazan,Nizhny Novgorod,5 - 2 ,7
27.02.2018,Niznekamsk,Lada,0 - 4 ,4
27.02.2018,Yekaterinburg,Tractor Chelyabinsk,1 - 3 ,4
27.02.2018,Metallurg Magnitogorsk,HC Yugra,4 - 0 ,4
27.02.2018,Salavat Ufa,Sochi,3 - 1 ,4
27.02.2018,Avangard Omsk,Sibir Novosibirsk,1 - 2  pen.,3
28.01.2018,Dinamo Riga,Jokerit,1 - 2 ,3
01.03.2018,Slovan Bratislava,Din. Minsk,4 - 2 ,6
01.03.2018,Dinamo Riga,Jokerit,3 - 1 ,4
01.03.2018,SKA St. Petersburg,Cherepovets,1 - 0  pen.,1
01.03.2018,Sp. Moscow,Dyn. Moscow,4 - 3 ,7
01.03.2018,Lokomotiv Yaroslavl,CSKA Moscow,2 - 5 ,7
01.03.2018,Nizhny Novgorod,Podolsk,2 - 1  OT,3
01.03.2018,Lada,Sochi,2 - 3 ,5
01.03.2018,Salavat Ufa,Bars Kazan,4 - 2 ,6
01.03.2018,HC Yugra,Yekaterinburg,0 - 3 ,3
01.03.2018,Metallurg Magnitogorsk,Niznekamsk,3 - 2 ,5
01.03.2018,Barys Astana,Avangard Omsk,3 - 4 ,7
01.03.2018,Sibir Novosibirsk,Tractor Chelyabinsk,1 - 4 ,5
27.02.2018,Sp. Moscow,Lokomotiv Yaroslavl,0 - 2 ,2
